frame_count,timestamp,start_seconds,drone_latitude,drone_longitude,drone_x_m,drone_y_m,rel_alt_m,heading_deg,heading_source,camera_angle_deg,camera_angle_source,ground_distance_m,ground_x_m,ground_y_m,ground_latitude,ground_longitude
1632,2024-06-19 11:16:16.860,54.415,32.107002,35.205231,9.146877637186922,404.9803075061737,117.6,197.79389874773645,trajectory,60.0,fixed,67.8963916567,-11.601846427791706,340.3319475140178,32.10642125390126,35.205010965763826
1633,2024-06-19 11:16:16.894,54.448,32.107002,35.205231,9.146877637186922,404.9803075061737,117.6,197.79389874773645,trajectory,60.0,fixed,67.8963916567,-11.601846427791706,340.3319475140178,32.10642125390126,35.205010965763826
1634,2024-06-19 11:16:16.927,54.482,32.106994,35.205228,8.86398451445535,404.08975157984685,117.6,197.52017630759087,trajectory,60.0,fixed,67.8963916567,-11.575655602217033,339.3430056237687,32.10641237008511,35.20501124350998
1635,2024-06-19 11:16:16.960,54.515,32.106994,35.205228,8.86398451445535,404.08975157984685,117.6,197.52017630759087,trajectory,60.0,fixed,67.8963916567,-11.575655602217033,339.3430056237687,32.10641237008511,35.20501124350998
1636,2024-06-19 11:16:16.994,54.548,32.106994,35.205228,8.86398451445535,404.08975157984685,117.6,197.52017630759087,trajectory,60.0,fixed,67.8963916567,-11.575655602217033,339.3430056237687,32.10641237008511,35.20501124350998
1637,2024-06-19 11:16:17.027,54.582,32.106986,35.205225,8.581091391723778,403.19919565281185,117.6,196.87146937898183,trajectory,60.0,fixed,67.8963916567,-11.124187023522843,338.225185444286,32.10640232853559,35.20501603120409
1638,2024-06-19 11:16:17.060,54.615,32.106986,35.205225,8.581091391723778,403.19919565281185,117.6,196.87146937898183,trajectory,60.0,fixed,67.8963916567,-11.124187023522843,338.225185444286,32.10640232853559,35.20501603120409
1639,2024-06-19 11:16:17.094,54.649,32.106986,35.205225,8.581091391723778,403.19919565281185,117.6,196.87146937898183,trajectory,60.0,fixed,67.8963916567,-11.124187023522843,338.225185444286,32.10640232853559,35.20501603120409
1640,2024-06-19 11:16:17.127,54.682,32.106978,35.205222,8.298198268992206,402.30863972648496,117.6,196.59671075138635,trajectory,60.0,fixed,67.8963916567,-11.095275623990737,337.2408814251404,32.106393486382146,35.20501633780115
1641,2024-06-19 11:16:17.160,54.715,32.106978,35.205222,8.298198268992206,402.30863972648496,117.6,196.59671075138635,trajectory,60.0,fixed,67.8963916567,-11.095275623990737,337.2408814251404,32.106393486382146,35.20501633780115
1642,2024-06-19 11:16:17.194,54.749,32.106978,35.205222,8.298198268992206,402.30863972648496,117.6,196.59671075138635,trajectory,60.0,fixed,67.8963916567,-11.095275623990737,337.2408814251404,32.106393486382146,35.20501633780115
1643,2024-06-19 11:16:17.227,54.782,32.106969,35.205218,7.921007438883388,401.3067643096328,117.6,195.95142766298522,trajectory,60.0,fixed,67.8963916567,-10.738438469369024,336.0247217680808,32.10638256143407,35.20502012195628
1644,2024-06-19 11:16:17.260,54.815,32.106969,35.205218,7.921007438883388,401.3067643096328,117.6,195.95142766298522,trajectory,60.0,fixed,67.8963916567,-10.738438469369024,336.0247217680808,32.10638256143407,35.20502012195628
1645,2024-06-19 11:16:17.294,54.849,32.106969,35.205218,7.921007438883388,401.3067643096328,117.6,195.95142766298522,trajectory,60.0,fixed,67.8963916567,-10.738438469369024,336.0247217680808,32.10638256143407,35.20502012195628
1646,2024-06-19 11:16:17.327,54.882,32.106961,35.205215,7.638114316151815,400.4162083833059,117.6,195.12225912877634,trajectory,60.0,fixed,67.8963916567,-10.074667167358996,334.87097688537466,32.106372197167445,35.205027161059554
1647,2024-06-19 11:16:17.360,54.915,32.106961,35.205215,7.638114316151815,400.4162083833059,117.6,195.12225912877634,trajectory,60.0,fixed,67.8963916567,-10.074667167358996,334.87097688537466,32.106372197167445,35.205027161059554
1648,2024-06-19 11:16:17.394,54.949,32.106961,35.205215,7.638114316151815,400.4162083833059,117.6,195.12225912877634,trajectory,60.0,fixed,67.8963916567,-10.074667167358996,334.87097688537466,32.106372197167445,35.205027161059554
1649,2024-06-19 11:16:17.427,54.982,32.106953,35.205212,7.355221193420241,399.52565245697906,117.6,194.28655450360358,trajectory,60.0,fixed,67.8963916567,-9.39968060498142,333.72904718188965,32.10636193903838,35.20503431909742
1650,2024-06-19 11:16:17.460,55.016,32.106953,35.205212,7.355221193420241,399.52565245697906,117.6,194.28655450360358,trajectory,60.0,fixed,67.8963916567,-9.39968060498142,333.72904718188965,32.10636193903838,35.20503431909742
1651,2024-06-19 11:16:17.494,55.049,32.106953,35.205212,7.355221193420241,399.52565245697906,117.6,194.28655450360358,trajectory,60.0,fixed,67.8963916567,-9.39968060498142,333.72904718188965,32.10636193903838,35.20503431909742
1652,2024-06-19 11:16:17.527,55.082,32.106945,35.205209,7.072328070688669,398.63509653136026,117.6,193.3655669461106,trajectory,60.0,fixed,67.8963916567,-8.622822651082338,332.5776802647449,32.10635159613339,35.205042557452025
1653,2024-06-19 11:16:17.561,55.116,32.106945,35.205209,7.072328070688669,398.63509653136026,117.6,193.3655669461106,trajectory,60.0,fixed,67.8963916567,-8.622822651082338,332.5776802647449,32.10635159613339,35.205042557452025
1654,2024-06-19 11:16:17.595,55.149,32.106945,35.205209,7.072328070688669,398.63509653136026,117.6,193.3655669461106,trajectory,60.0,fixed,67.8963916567,-8.622822651082338,332.5776802647449,32.10635159613339,35.205042557452025
1655,2024-06-19 11:16:17.628,55.182,32.106936,35.205206,6.789434947357259,397.63322111309185,117.6,192.52230105265664,trajectory,60.0,fixed,67.8963916567,-7.931833404075562,331.3519699320444,32.106340585390136,35.20504988519376
1656,2024-06-19 11:16:17.661,55.216,32.106936,35.205206,6.789434947357259,397.63322111309185,117.6,192.52230105265664,trajectory,60.0,fixed,67.8963916567,-7.931833404075562,331.3519699320444,32.106340585390136,35.20504988519376
1657,2024-06-19 11:16:17.695,55.249,32.106936,35.205206,6.789434947357259,397.63322111309185,117.6,192.52230105265664,trajectory,60.0,fixed,67.8963916567,-7.931833404075562,331.3519699320444,32.106340585390136,35.20504988519376
1658,2024-06-19 11:16:17.728,55.282,32.106928,35.205203,6.506541824625685,396.7426651874731,117.6,191.3893700112183,trajectory,60.0,fixed,67.8963916567,-6.901329956451562,330.1833009003783,32.1063300870576,35.20506081338569
1659,2024-06-19 11:16:17.761,55.316,32.106928,35.205203,6.506541824625685,396.7426651874731,117.6,191.3893700112183,trajectory,60.0,fixed,67.8963916567,-6.901329956451562,330.1833009003783,32.1063300870576,35.20506081338569
1660,2024-06-19 11:16:17.795,55.349,32.106928,35.205203,6.506541824625685,396.7426651874731,117.6,191.3893700112183,trajectory,60.0,fixed,67.8963916567,-6.901329956451562,330.1833009003783,32.1063300870576,35.20506081338569
1661,2024-06-19 11:16:17.828,55.383,32.10692,35.2052,6.2236487018941125,395.8521092611462,117.6,190.18654152318882,trajectory,60.0,fixed,67.8963916567,-5.784069403369451,329.02595640236996,32.10631969045508,35.205072661611716
1662,2024-06-19 11:16:17.861,55.416,32.10692,35.2052,6.2236487018941125,395.8521092611462,117.6,190.18654152318882,trajectory,60.0,fixed,67.8963916567,-5.784069403369451,329.02595640236996,32.10631969045508,35.205072661611716
1663,2024-06-19 11:16:17.895,55.449,32.10692,35.2052,6.2236487018941125,395.8521092611462,117.6,190.18654152318882,trajectory,60.0,fixed,67.8963916567,-5.784069403369451,329.02595640236996,32.10631969045508,35.205072661611716
1664,2024-06-19 11:16:17.928,55.483,32.106912,35.205198,6.035053287139623,394.96155333481937,117.6,189.3294585529876,trajectory,60.0,fixed,67.8963916567,-4.971711584576103,327.96326136361483,32.106310144103126,35.20508127643215
1665,2024-06-19 11:16:17.961,55.516,32.106912,35.205198,6.035053287139623,394.96155333481937,117.6,189.3294585529876,trajectory,60.0,fixed,67.8963916567,-4.971711584576103,327.96326136361483,32.106310144103126,35.20508127643215
1666,2024-06-19 11:16:17.996,55.549,32.106912,35.205198,6.035053287139623,394.96155333481937,117.6,189.3294585529876,trajectory,60.0,fixed,67.8963916567,-4.971711584576103,327.96326136361483,32.106310144103126,35.20508127643215
1667,2024-06-19 11:16:18.028,55.583,32.106903,35.205197,5.94075557916254,393.95967791796716,117.7,188.1315414235878,trajectory,60.0,fixed,67.95412668361898,-3.671098791230512,326.68876601025113,32.10629869511657,35.20509506905582
1668,2024-06-19 11:16:18.061,55.616,32.106903,35.205197,5.94075557916254,393.95967791796716,117.7,188.1315414235878,trajectory,60.0,fixed,67.95412668361898,-3.671098791230512,326.68876601025113,32.10629869511657,35.20509506905582
1669,2024-06-19 11:16:18.095,55.649,32.106903,35.205197,5.94075557916254,393.95967791796716,117.7,188.1315414235878,trajectory,60.0,fixed,67.95412668361898,-3.671098791230512,326.68876601025113,32.10629869511657,35.20509506905582
1670,2024-06-19 11:16:18.128,55.683,32.106896,35.205195,5.752160164408051,393.1804414814575,117.7,186.94089637069172,trajectory,60.0,fixed,67.95412668361898,-2.4597844657069556,325.7243276093609,32.106290031419014,35.20510791469498
1671,2024-06-19 11:16:18.161,55.716,32.106896,35.205195,5.752160164408051,393.1804414814575,117.7,186.94089637069172,trajectory,60.0,fixed,67.95412668361898,-2.4597844657069556,325.7243276093609,32.106290031419014,35.20510791469498
1672,2024-06-19 11:16:18.196,55.75,32.106896,35.205195,5.752160164408051,393.1804414814575,117.7,186.94089637069172,trajectory,60.0,fixed,67.95412668361898,-2.4597844657069556,325.7243276093609,32.106290031419014,35.20510791469498
